attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,36039633,0,online,awesome,5,PSY2105,"Professor Atance is a great prof. She is caring, has clear grading criteria and her lectures are interesting. Would recommend!",04/07/2022,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1649362572000,Yes,0,Yes,,Not sure yet,"['Clear grading criteria', 'Respected', 'Caring']",people,people
Not Mandatory,good,average,good,0,35458640,0,,awesome,5,PSY2105,She is amazing. So kind and helpful. 10/10 would reccomend. Would take her again!!,12/10/2021,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1639159469000,Yes,1452,Yes,,A,[],people,people
Not Mandatory,good,average,good,0,34411544,0,online,awesome,5,PSY2105,"Very interesting lectures. Does not always go through everything in class so the textbook is a must. It is important to read the readings she assigns to fully understand all the concepts. Gives a lot of examples. Tests and quizzes are fairly simple. If you are really interested in child psychology, this is an amazing class.",03/05/2021,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1614925866000,Yes,1452,Yes,,A+,"['Respected', 'Amazing lectures ', 'Gives good feedback']",people,people
Mandatory,good,average,good,0,34290377,0,online,awesome,5,PSY2105,"She actually cares about her students, shes very passionate about psych and I looked forward to her lectures! If you do the readings and take notes from the lectures you'll do great!",01/18/2021,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1611004818000,Yes,1452,Yes,,A+,"['Caring', 'Amazing lectures ', 'Respected']",people,people
Not Mandatory,average,good,average,0,32864528,0,,poor,2,PSY2105,"Lectures were good and engaging. However, exams were designed to trick students and also tested on obscure material from the textbook. The weighting distribution of assignments was very strange and these assignments were also marked with surprising difficulty",01/24/2020,4.0,4.0,,2,N/A,2.0,2.0,1,Yes,1579842815000,No,1452,Yes,,N/A,[],people,people
Mandatory,average,good,average,0,32799841,0,,average,3,PSY2105,"Really nice prof, very approachable. Exams are a little unfair for the amount of work you put in. Pay attention to little details she mentions in class. Textbook is good for overall topics but unnecessary to read it all. Concept checks in text  questions on tests.",01/06/2020,4.0,4.0,,3,N/A,3.0,3.0,1,Yes,1578333832000,No,1452,Yes,,C+,"['Get ready to read', 'Tough grader']",people,people
Mandatory,good,good,good,0,32602105,0,,good,4,PSY2105,"Prof Atance is nice and her classes are really interesting. Although her midterm was hard. You really have to read the textbook and consider all the details when you are studying. Overall, she is a good prof, but be prepared to read.",12/11/2019,4.0,4.0,,4,N/A,4.0,4.0,1,Yes,1576029836000,Yes,1452,Yes,,B-,"['Get ready to read', 'Test heavy', 'Respected']",people,people
N/A,average,average,average,6,29435001,0,,average,3,PSY3378,"Prof. Atance is a good prof in some ways. My personal problem was that she focused mostly on methods of experiments and for the midterm and final you had to memorize these methods, which I found inapplicable to real life and unhelpful to my learning and future career. She was a good lecturer, however, and very caring and funny.",01/11/2018,3.0,3.0,,3,N/A,3.0,3.0,1,Yes,1515662383000,No,1452,Yes,,N/A,['Respected'],people,people
Not Mandatory,average,average,average,24,29348701,0,,poor,2,PSY3378,"The professor is nice, but she only teaches about studies done on cognitive development and for the midterm you need to memorize what the purpose and results were for each study. There is a group research project and everyone has to write their own research paper. This class is very dry, so take it if you really want to learn about children",12/28/2017,3.0,3.0,,2,N/A,2.0,2.0,1,No,1514428075000,No,1452,Yes,,N/A,[],people,people
N/A,good,average,good,0,18435147,26,,awesome,5,PSY3378,"Very nice professor, cares about her students and takes the time to get to know you personally. Make sure you go to class. It really helps. Lab work is very easy, midterms are extremely fair and not hard if you study. i absolutely loved her class.",04/19/2011,2.0,2.0,,5,Really into it,5.0,5.0,1,Yes,1303232495000,N/A,1452,N/A,,N/A,[],people,people
