attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,good,good,0,29524529,0,,awesome,5,ENG1100,"I actually had her as a professor for a course offered through the Government (it was at Ottawa U). What a great professor. Ive never taken a course on English before that I actually liked, let alone loved, until I roll her course. Shes very engaging, uses relatavle examples, and takes pride in her teaching.",01/31/2018,4.0,4.0,,5,N/A,5.0,5.0,1,No,1517426121000,Yes,1452,No,,N/A,[],people,people
Mandatory,good,good,good,0,29458408,0,,awesome,5,ISC2309,"An absolutely outstanding professor! She makes you work, but she teaches in a way that makes you want to participate in class, although the course (english) may not be super interesting. She is super engaging and gives you the best feedbacks ever. She truly knows what she is talking about. Overall: OUTSTANDING! Love her personality and lectures!",01/16/2018,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1516094342000,Yes,1452,Yes,,N/A,"['Inspirational', 'Gives good feedback', 'Respected']",people,people
Mandatory,good,average,good,0,27730706,0,,awesome,5,ENG1100,"The best English professor I have ever had; you should go out of your way to take her class. She is a kind and inspirational person. Her feedback and her guidance will certainly allow, those who seek it, a mean to improve.  Go to her lectures; even if you think you are really good at English, you'll get something out of them.",01/14/2017,3.0,3.0,,5,N/A,5.0,5.0,1,No,1484395087000,Yes,1452,Yes,,A+,"['Inspirational', 'Participation matters', 'Accessible outside class']",people,people
Mandatory,good,poor,good,0,27729723,0,,awesome,5,PSY2012,Dr. Sexton is the best!! I am so happy I took her class!  Make sure you come to class (which is awesome so who wouldn't want to go) and study for the test and you will do great!,01/13/2017,1.0,1.0,,5,N/A,5.0,5.0,1,Yes,1484350076000,Yes,1452,Yes,,A,"['Inspirational', 'Hilarious', 'Respected']",people,people
Not Mandatory,good,average,good,0,27428208,0,,awesome,5,ENG1100,"Melanie is not only an amazing professor, but an inspiration for all. The class consists of 2 essays and a research assignment, along with quizzes every class but only the best 6 are counted which accounts for 15% of the final mark. She gives great feedback and is always available for help outside of class. Definitely recommend Prof Sexton!!",12/11/2016,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1481416738000,Yes,1452,Yes,,N/A,"['Gives good feedback', 'EXTRA CREDIT', 'Respected']",people,people
Mandatory,good,average,good,1,25476867,3,,awesome,5,ENG1120,"Prof. Sexton is funny, very knowledgeable and well-respected. Her expectations for the work are clear, and the assigned readings are carefully chosen and worth your time. Class discussion was usually engaging and interesting. I have huge amounts of respect for her .",11/23/2015,3.0,3.0,,5,Really into it,5.0,5.0,1,Yes,1448300167000,N/A,1452,Yes,,A,"['Clear grading criteria', 'Inspirational', 'Gives good feedback']",people,person
N/A,average,average,good,2,24725152,0,,good,3,ENG1120,"My gosh this woman is a wizard she is so helpful in marking your essays,her expectations are clear- just read the short stories and carry a couple of ideas to class. The class discussions are SO important especially for the exam. Just the fact that she is deaf added a pack of flavor to discussions and personality. Amazing  professor and human being",05/03/2015,3.0,3.0,,5,Really into it,4.0,4.0,1,Yes,1430646503000,N/A,1452,Yes,,Not sure yet,"['Amazing lectures ', 'Gives good feedback', 'Get ready to read']",people,people
N/A,good,poor,good,0,24376086,0,,awesome,5,ENG1100ENG1120,"I had Professor Sexton for 1100 and loved her so much I made sure I was in her class for 1120. She's very knowledgeable about what she teaches and is available if you need extra help. Some of the content (ENG1100) can be dry but she's great at making the classes fun and engaging. She makes expectations crystal clear, I definitely recommend her. ",02/11/2015,1.0,1.0,,5,Really into it,5.0,5.0,1,Yes,1423614936000,Yes,1452,Yes,,N/A,['Get ready to read'],people,people
N/A,good,poor,good,1,24222353,0,,awesome,5,ENG1120,"One of my favourite profs thus far, she was great! All i can say is come to class, participate, and stay up to date on your readings, and you will have a great class!",01/03/2015,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1420317076000,N/A,1452,Yes,,N/A,"['Participation matters', 'Get ready to read', 'Respected']",people,person
N/A,average,average,average,1,24129325,0,,average,3,ENG1100,"Prof. Sexton is the sweetest teacher, she is deaf therefore an interpreter is present in all classes. Her lectures are quite dry and she posts them all online so no need to copy notes. Online participation is a must, the work is very straightforward and but she is a tough marker. Recommend. ",12/18/2014,3.0,3.0,,3,Low,3.0,3.0,1,No,1418870021000,Yes,1452,Yes,,N/A,"['Participation matters', 'Lecture heavy']",people,person
N/A,average,average,average,0,24101296,0,,average,2,ENG1100,"She seems to take off a lot of marks for grammar mistakes on essays. We also don't get most of our essays back, so 0 feedback. Otherwise she's great. ",12/16/2014,2.0,2.0,,4,Meh,3.0,3.0,1,No,1418734893000,N/A,1452,Yes,,N/A,[],people,people
Not Mandatory,poor,good,poor,0,24064564,0,,awful,1,ENG1100,"She is ver hard to understand when talking, and is by far the most boring teacher I've ever had. There was weekly quiz's were mostly on topics we had to learn on our own, and no feedback on them during the discussion group; though, I had the TA for that. Textbook was a waste as you can google any questions about grammar. ",12/13/2014,5.0,5.0,,1,Meh,1.0,1.0,1,No,1418475638000,N/A,1452,Yes,,Not sure yet,"['Beware of pop quizzes', 'Lecture heavy']",people,people
N/A,good,average,good,0,23989963,0,,awesome,4,ENG1100,She was absolutely amazing for an older teacher. Hilarious! She was very helpful and very straight up! Helped me a lot with my essays! She gives excellent feedback and its a relatively easy marker. I would 100% recommend taking her class! ,12/08/2014,2.0,2.0,,5,Really into it,4.5,4.5,1,Yes,1418063246000,N/A,1452,Yes,,Not sure yet,"['Hilarious', 'Caring', 'Respected']",people,people
N/A,good,good,good,5,23916523,0,,good,4,ENG1100,"She was definitely my favourite prof this semester. We had small quizzes every monday, which was annoying but helped us retain all the info we were being taught during the lectures. She is very clear on what she wants and is more than happy to answer any questions. I learned and retained a lot from her teaching habits. I highly recommend her! ",12/01/2014,4.0,4.0,,4,Sorta interested,4.0,4.0,1,No,1417459679000,N/A,1452,Yes,,N/A,[],people,people
