attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,33546708,0,online,awesome,5,CSI2120,"Great prof. He really went the extra mile to adapt the class to an online format, with individual videos on each topic that were very good at explaining the concepts. Encourages students to ask questions, so reach out if you have an issue, he gives great feedback! Also a warning: start assignments early. They will take longer than you expect.",07/30/2020,4.0,4.0,,5,N/A,5.0,5.0,1,No,1596135415000,Yes,1452,Yes,,N/A,"['Gives good feedback', 'Caring', 'Accessible outside class']",people,people
Not Mandatory,poor,good,poor,0,33178786,0,,awful,1,CSI2120,Knowledgeable person but can't explain. Very dry lectures. The course itself sucks and is jam packed just to teach you 3 useless languages. Assignments are so long and very lowly weighted.,05/01/2020,4.0,4.0,,1,N/A,1.0,1.0,1,No,1588366039000,No,1452,Yes,,C+,[],people,people
Not Mandatory,average,good,average,0,33113175,0,,average,3,CSI4130,"i see that he gets a lot of hate here but in reality hes actually a good prof. his class is well organized, he understands and explains the material well and he is available outside of class for help. the material is a bit tough for this specific class so if you have good working habbits and you should be fine",04/23/2020,4.0,4.0,,3,N/A,3.0,3.0,1,No,1587659526000,Yes,1452,Yes,,B+,['Accessible outside class'],people,people
Mandatory,average,good,average,0,33051260,0,,poor,2,CSI2120,"Didn't convey knowledge efficiently. Lots of good examples in lecture and tutorial, but unfortunately explained in a very vague way that missed what matters most. Homework questions are good, with lots of work worthy a few marks. Don't see the point to use such way to understand functional programming.",04/13/2020,4.0,4.0,,2,N/A,2.0,2.0,1,No,1586749824000,No,1452,Yes,,N/A,"['Lots of homework', 'Accessible outside class']",people,people
Mandatory,poor,good,poor,0,33001224,0,,awful,1,CSI2120,Assignment are long and brutal for the amount of marks they are worth. Most of the programming languages taught are old with very strange and difficult syntax. Professor is very dry and lectures put you to sleep. I would avoid him in the future.,03/29/2020,4.0,4.0,,1,N/A,1.0,1.0,1,Yes,1585499872000,No,1452,Yes,,B+,"['Participation matters', 'Tough grader', 'Get ready to read']",people,people
Not Mandatory,poor,good,poor,0,32874363,0,,awful,1,CSI2120,"He always makes me confused, I went to his office hour and get nothing except greater confusion. He seems to be knowledgable. However, he cannot say anything.",01/28/2020,4.0,4.0,,1,N/A,1.0,1.0,1,No,1580242059000,No,1452,Yes,,N/A,[],people,people
Not Mandatory,poor,good,poor,2,32074512,0,,awful,1,CSI2120,"Cannot teach. Would be nice to avoid him if possible but unfortunately he's the only one teaching the class most of the time. Difficult assignments, easy midterm and moderately difficult exam.",07/03/2019,4.0,4.0,,1,N/A,1.0,1.0,1,No,1562128733000,No,1452,Yes,,A,"['Get ready to read', 'Lots of homework']",people,people
Mandatory,poor,good,poor,2,32060217,0,,awful,1,CSI2110,"One of the worst professors I've ever had (and boy there are many in mech eng). Does not teach the material well, you might as well not go to class and learn it on your own. Assignments are completely trite and asinine, who wants to spend a week working on something worth 3% that hardly reflects what is learned in class? Awful awful awful.",06/26/2019,5.0,5.0,,1,N/A,1.0,1.0,1,No,1561573582000,No,1452,Yes,,A,['Lots of homework'],people,people
N/A,poor,good,poor,0,31924369,0,,awful,1,CSI2120,I studied most of this course on my own and basically went to only the first 2 lectures which shows his quality of teaching. The one time I asked him a question I ended having to look for the answer myself because he kept giving vague responses I ended up getting a good mark only because I studied the material at home.,05/21/2019,4.0,4.0,,1,N/A,1.0,1.0,1,No,1558441588000,No,1452,Yes,,N/A,['Lots of homework'],people,people
Mandatory,good,average,good,3,31689273,0,,awesome,5,CSI2120,Best professor!,04/26/2019,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1556313881000,Yes,1452,Yes,,B+,[],people,people
