attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,good,good,1,34681343,0,,good,4,ADM3301,"This prof has a boring personality that will hypnotise you to sleep if you listen to his lectures for too long, but he provides a lot of detailed feedback on quizzes and assignments so that you can prepare yourself well for the midterm. As for the final exam, do not attempt to ace it because you won't, trust me. Generally, acceptable prof at least.",05/02/2021,4.0,4.0,,4,N/A,4.0,4.0,1,No,1619984167000,No,1452,Yes,,B+,"['Gives good feedback', 'Lots of homework']",people,person
Not Mandatory,poor,good,poor,0,34565363,0,online,awful,1,ADM3301,"Just finished one of the hardest exams in my life, not because the course materials are difficult to understand but because this prof simply talks a lot about the theories instead of math questions, which will mess you up since you have no idea how to write a super long-text math question. 1%  1 point is the most ridiculous thing I've heard so far",04/17/2021,5.0,5.0,,1,N/A,1.0,1.0,1,No,1618626239000,No,1452,No,,F,['Tough grader'],people,people
Not Mandatory,poor,good,poor,0,34565177,0,online,awful,1,ADM3701,Avoid the prof if you can. Doesn't know how to teach the subject matter and makes the exams hard by putting a heavy weight on each question.,04/17/2021,4.0,4.0,,1,N/A,1.0,1.0,1,Yes,1618623372000,No,1452,Yes,,B,"['Tough grader', 'Beware of pop quizzes', 'Test heavy']",people,people
Not Mandatory,average,good,average,0,34519118,0,online,poor,2,ADM3301,"This prof is a charlatan who doesn't know the meaning of &quot;Operations Management&quot;. The lectures are 0% helpful since he will talk about a lot of boring concepts that you can understand by just reading them. This guy explains the extremely difficult maths part of the course faster than The Flash, so you have to practice on your own to do well.",04/07/2021,5.0,5.0,,2,N/A,2.0,2.0,1,No,1617831638000,No,1452,No,,B+,"['Lots of homework', 'Get ready to read', 'Tough grader']",people,people
N/A,good,good,good,0,34485164,3,online,awesome,5,ADM3301,"Great prof that actually cares about his students. Takes the time to answer all of his student's questions, would definitely recommend for ADM3301.",03/29/2021,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1617042658000,Yes,1452,Yes,,N/A,"['Amazing lectures ', 'Gives good feedback']",people,people
Not Mandatory,poor,good,poor,0,34416067,0,online,awful,1,ADM3301,"Avoid this prof at any cost if you have better alternatives. The lectures only focus on useless theories that wont be tested on exams. His exams are brutal since each question has an insane weight of the exam. You will probably spend a majority of the time studying the knowledge yourself. Dont open a course if you cannot find a good prof, Telfer",03/07/2021,4.0,4.0,,1,N/A,1.0,1.0,1,No,1615146998000,No,1452,No,,C,"['Tough grader', 'Get ready to read', 'Lots of homework']",people,people
Not Mandatory,average,average,average,0,34392882,0,online,average,3,ADM3301,"The prof has miserable teaching skills since he turns a quantitative course into a pure theory-based class. However, the assignments and quizzes are not too tough if you look at the textbook or the lectures. His exams are very weird because 1% equals 1 point, so you better watch out for each question. U need resources and self-learning skills in it",02/26/2021,3.0,3.0,,3,N/A,3.0,3.0,1,No,1614353890000,No,1452,Yes,,B+,"['Accessible outside class', 'Test heavy', 'Lots of homework']",people,people
Not Mandatory,good,good,good,0,33512320,1,,good,4,ADM3701,Work hard to pass,07/16/2020,4.0,4.0,,4,N/A,4.0,4.0,1,No,1594923670000,Yes,1452,Yes,,B,"['Amazing lectures ', 'Group projects', 'Test heavy']",person,people
Not Mandatory,good,good,good,0,33512311,0,,good,4,ADM2302,KNows his work Work hard to pass,07/16/2020,5.0,5.0,,4,N/A,4.0,4.0,1,Yes,1594923457000,Yes,1452,Yes,,C,"['Caring', 'Amazing lectures ', 'Inspirational']",people,people
Not Mandatory,average,average,average,2,32815833,0,,poor,2,ADM3301,He was fine. His lectures were so boring and he didn't really do a good job of communicating the material. I would always have to reread all the chapters by myself because he made them so confusing. His midterm and final kinda sucked because it was worth 20% and only had 20 marks so if you miss one question it's a whole percent.,01/09/2020,3.0,3.0,,2,N/A,2.0,2.0,1,No,1578585933000,No,1452,Yes,,A-,"['Clear grading criteria', 'Group projects']",people,people
Not Mandatory,average,average,average,0,32466717,0,,average,3,ADM3301,"Gilles knows what he's talking about, he is passionate about it but the class in itself is boring so it's hard to stay focused... but he is available outside of class, accessible and caring.",11/23/2019,3.0,3.0,,3,N/A,3.0,3.0,1,No,1574480242000,No,1452,Yes,,A,"['Beware of pop quizzes', 'Accessible outside class', 'Group projects']",people,people
Not Mandatory,poor,average,poor,0,32439897,0,,awful,1,ADM3301,Doesn't seem to know material. Reads off the slides and then the assignments do not reflect what he's taught. Mixes up the French and English versions of his PowerPoints with both languages in the slides. Very boring with little examples that help. Makes up his own processes rather than using the processes of other professors teaching,11/19/2019,3.0,3.0,,1,N/A,1.0,1.0,1,Yes,1574188365000,No,1452,Yes,,N/A,['Get ready to read'],people,people
Mandatory,average,good,average,0,32214600,0,,poor,2,ADM3701,"Lecture are so boring, doesn't seem like he is comfortable with the material",09/05/2019,4.0,4.0,,2,N/A,2.0,2.0,1,Yes,1567700696000,No,1452,Yes,,C+,[],people,people
