attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,good,average,0,32988380,0,,poor,2,ECO1504,"This class requires you to only have this if you want to have an A. The teacher is not consequent in his class and he contradicts himself A LOT. He does not answer e-mails and forgets arranging an appointment with him, even when you talk with him IN CLASS to fix an appointment he does not have availabilities... Hated economy and I still do.",03/24/2020,4.0,4.0,,2,N/A,2.0,2.0,1,Yes,1585010327000,No,1452,Yes,,N/A,"['Get ready to read', 'Lots of homework']",people,people
Mandatory,average,good,average,0,29437433,0,,average,3,ECO2544,"he's a hot mess. contradicts himself so much. class average always very low, but if you're good in maths you should be fine. Half the time you feel as though he has no idea what he's saying especially when you ask him questions",01/11/2018,4.0,4.0,,3,N/A,3.0,3.0,1,Yes,1515685136000,No,1452,N/A,,A,[],people,people
Mandatory,average,good,poor,1,26286151,0,,poor,2,ECO1502,"He is very confusing, he contradicts himself a lot and teaches the wrong material. his midterms are hard so i would suggest you just follow the book and study alone. If you can avoid him",04/13/2016,4.0,4.0,,1,N/A,1.5,1.5,1,Yes,1460538849000,N/A,1452,Yes,,N/A,['Tough grader'],people,person
Mandatory,poor,good,poor,6,24840458,0,,awful,1,ECO1502,"Contradiction après contradiction, la majorité de ce qui dit  est en contradiction avec ce qui est écrit dans le livre du cours. Il donne de mauvaises explications et en est persuadé qu'elles sont bonnes , ceci a été vérifié, je parle en connaissance de cause.",05/15/2015,5.0,5.0,,1,Sorta interested,1.0,1.0,1,Yes,1431701214000,N/A,1452,Yes,,D,[],people,people
N/A,poor,good,poor,6,24840162,0,,awful,1,EC01502,"OH LORD, what a bad prof. his exams are  riddled with errors  and confuse students. he showed up late for an exam and we did the exam in 60 min instead of 75. Gives bad and confusing explanations when he does the lecture.",05/15/2015,5.0,5.0,,1,Sorta interested,1.0,1.0,1,Yes,1431698990000,N/A,1452,Yes,,N/A,[],people,people
Mandatory,poor,good,poor,5,24825503,0,,awful,1,ECO1504,"Bad teacher, he seems like no mastering anything about economics stuff. avoid him if you can!",05/13/2015,5.0,5.0,,1,Really into it,1.0,1.0,1,Yes,1431558210000,N/A,1452,Yes,,N/A,[],people,people
Not Mandatory,average,average,average,4,24761737,0,,average,2,ECO1502,"Mr. Houssein is a very nice person, but an ok to bad prof. He constantly contradicts the textbook, saying it's full of mistakes (it was written by Mankiw, one of the most respected textbook writers out there). His tests are SUPER ambiguous; don't take him if you're an international student. Keeps complaining we don't care about his course (what???)",05/06/2015,3.0,3.0,,3,Really into it,2.5,2.5,1,Yes,1430954812000,N/A,1452,Yes,,A,"['Hilarious', 'Participation matters', 'Tough grader']",people,people
Mandatory,poor,average,poor,16,24580132,1,,awful,1,ECO1504,"Mauvais, mauvais et mauvais. Ce prof est d'une médiocrité rarement vu.  On a l'impression qui ne sait pas de quoi il parle. Il ne vous donnera aucune envie de prendre un autre cours d'économie malgré que cette branche soit des plus intéressantes.  ",04/11/2015,3.0,3.0,,1,Sorta interested,1.0,1.0,1,Yes,1428790051000,N/A,1452,Yes,,A+,[],person,people
Mandatory,average,average,average,17,24580049,0,,average,2,ECO1504,"This prof is the worst one so far for me, He doesn't master what he is saying,He doesn't even know how toexplain minor conceptsof economy Like efficiency, Expect to have errors on exams Hopefully, I took introduction to Macroeconomics in the previous session which have the same 6 first chapters, that's helped meto undesrtand the textbook bymyself",04/11/2015,3.0,3.0,,3,Really into it,2.5,2.5,1,Yes,1428788075000,N/A,1452,Yes,,A+,[],people,people
Not Mandatory,average,average,average,3,23787208,0,,average,3,ECO1504,"No need to show up to class. Just read his slide, the book and make sure to study all the questions at the end of chapters.",11/11/2014,3.0,3.0,,3,Meh,3.0,3.0,1,Yes,1415712948000,N/A,1452,Yes,,N/A,[],people,people
N/A,average,average,average,1,23613526,15,,average,3,ECO1704,Decent prof. ,09/25/2014,3.0,3.0,,3,Low,3.0,3.0,3,Yes,1411681232000,N/A,1452,Yes,,N/A,[],people,person
N/A,poor,average,average,15,22365521,0,,average,1,ECO1502,"Sans avoir un intérêt aigue pour l'économie, ce prof est sans doute le pire prof que j'ai eu de mon BACC jusqu'à présent. Il enseigne le contraire de ce qui nous est appris dans le manuel de l'étudiant. Plusieurs étudiants le reprennais en classe. Il est drôle certes, mais rie des étudiants. Vraiment, si vous avez le choix, ne le prennez pas.",11/21/2013,2.0,2.0,,4,Low,2.5,2.5,1,Yes,1385045705000,N/A,1452,N/A,,N/A,[],people,people
Not Mandatory,good,average,good,2,22081040,4,,good,4,ECO1704,"Very enthusiastic prof, but as an immersion student not super interested in Economics, it was hard to pay attention. I went to under 25% of his classes and just studied from the textbook and notes I made from the slides online and did fine. All tests are multiple choice, which was nice. If you're in immersion you'll probably have to pass/fail it.",08/24/2013,3.0,3.0,,4,Sorta interested,4.0,4.0,1,Yes,1377361532000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,average,average,0,21531904,1,,average,3,ECO1720,Absolutely hilarious! The multiple choice is kind of hard but you get tests as well as the midterm to get used to to way the tests are.,04/14/2013,3.0,3.0,,3,Sorta interested,3.0,3.0,1,Yes,1365903648000,N/A,1452,N/A,,N/A,[],person,people
N/A,good,average,good,2,20945805,12,,awesome,4,ECO1704,"Bon prof , il est toujours présent si l'on veut de l'aide , la matière est clair et bien organiser . Par contre il faut travailler fort dans ce cours.",12/04/2012,3.0,3.0,,5,Really into it,4.5,4.5,1,Yes,1354622716000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,average,average,2,20678048,13,,average,3,ECOA,"The teacher is nice, sometimes hard to understand but he really tries his best. The lectures are interesting and the textbook is very useful. His exams aren't made to make you fail. So if you've listened in class and done your homework, you should be fine. I like how the teacher explains and takes the time to make sure everyone understands.",10/03/2012,2.0,2.0,,3,It's my life,3.0,3.0,1,Yes,1349303122000,N/A,1452,N/A,,N/A,[],people,people
