attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,35809268,0,,awesome,5,ANT1101,Def recommend this for an elective. For papers he was very clear and gave many examples for ideas. Lectures were engaging and he didn't just read off slides. Textbook was free online and while there were a lot of readings you definitely don't have to do them. So good he nearly convinced me to switch majors from nursing to anthro.,01/29/2022,4.0,4.0,,5,N/A,5.0,5.0,1,No,1643416120000,Yes,1452,Yes,,A+,"['Get ready to read', 'So many papers', 'Inspirational']",people,people
Not Mandatory,good,average,good,1,35808294,0,,awesome,5,ANT1101,"Dr Gandsman is an incredible prof. Many people did not get a good grade for the first paper as the expectations werent clear, but he got a lot better throughout the term. His lectures were fun and gave us everything we needed to get a basic understanding of the anthropological field. The assignments outside of the first one were fun to do as well!",01/28/2022,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1643396174000,Yes,1452,Yes,,A,"['Gives good feedback', 'Accessible outside class', 'Amazing lectures ']",people,person
N/A,good,average,good,1,35770103,0,,awesome,5,ANT1101,"I'm a STEM major that took this course as an elective, but Ari's class convinced me to minor in anthro. Was already really interested in the material, but Ari delivers the content in such a seamless way. TA's are incredible. Extremely helpful, give great guidance prior to papers, and they're the key to great marks. Def will take his class again.",01/19/2022,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1642560179000,Yes,1452,No,,A,"['Get ready to read', 'Amazing lectures ', 'Caring']",people,person
N/A,good,average,good,0,35742171,0,,good,4,ANT1101,"Pretty solid prof who clearly cares about his students. The course material was interesting and he does a good job explaining it. Very flexible with students as well. The grading schemes are pretty vague though. The final was a paper that didn't have grading criteria or feedback given, which makes you wonder how your final grade was decided.",01/12/2022,2.0,2.0,,4,N/A,4.0,4.0,1,Yes,1642006120000,Yes,1452,Yes,,N/A,"['Caring', 'Get ready to read']",people,people
Not Mandatory,good,good,good,0,35706260,0,online,awesome,5,ANT1101,"Great Prof, would take again!",01/05/2022,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1641423894000,Yes,1452,Yes,,A-,"['Accessible outside class', 'Caring', 'Respected']",people,people
Not Mandatory,poor,good,poor,0,35654030,0,online,awful,1,ANT1101,"I took this first-year class, but it felt more like an upper-year one. Avoid if you can because he along with his TAs are snarky and rude. I find him very belittling and inconsiderate. There are 3 papers, along with a final essay that is 10 pages. The course material is interesting, but he is very dull.",12/25/2021,4.0,4.0,,1,N/A,1.0,1.0,1,No,1640470579000,No,1452,Yes,,C+,"['Accessible outside class', 'So many papers', 'Tough grader']",people,people
Not Mandatory,average,good,average,0,35620727,0,online,poor,2,ANT1101,"I liked the readings but his lectures are dull and it can be difficult to comprehend everything. Tough grader! No criteria. Three papers, I honestly only did the readings needed for those papers, no midterm, and a final exam which was a nine page essay. It was difficult to understand what he expected and the exam was unnecessarily complicated.",12/21/2021,4.0,4.0,,2,N/A,2.0,2.0,1,No,1640109083000,No,1452,Yes,,Not sure yet,"['So many papers', 'Get ready to read']",people,people
Not Mandatory,average,good,average,0,35599749,0,,poor,2,ANT1101,DO NOT BE FOOLED BY THE GOOD REVIEWS. The class and the prof may seem chill and easy but the essays are graded extremely hard. There is no midterm but I much rather have a midterm because the final exam will drain you. It was made complicated for no absolute reason! The prof is nice but the exam will be the death of you. SAVE YOURSELF!!,12/19/2021,5.0,5.0,,2,N/A,2.0,2.0,1,Yes,1639952044000,No,1452,No,,C+,"['So many papers', 'Get ready to read', 'Tough grader']",people,people
Mandatory,good,average,good,0,35582426,0,,good,4,ANT1101,"Hybrid class structure, always made class interesting. Go to office hours with questions about the papers, he is really helpful, and it helps to clarify broad instructions.",12/18/2021,3.0,3.0,,4,N/A,4.0,4.0,1,No,1639789374000,Yes,1452,Yes,,A,"['Amazing lectures ', 'So many papers', 'Caring']",people,people
Not Mandatory,poor,average,poor,0,35478577,0,,awful,1,ANT1101,"This professor cant teach. His lectures are dull and I just tuned most of them out. The subject matter is boring, unless youre really into hunter gatherers. His essay rubrics are so bad that we had to decipher them in the class group chat. Plus he assigns reading two times per week, theyre long boring chapters that will turn your brain to mush.",12/12/2021,3.0,3.0,,1,N/A,1.0,1.0,1,No,1639275437000,No,1452,Yes,,N/A,"['Get ready to read', 'Lots of homework']",people,people
N/A,good,average,good,0,34883853,0,online,awesome,5,ANT3132,"Always my favourite prof at uOttawa. This class was absorbing, eye opening. Lots of reading, all interesting and relevant. He posted readings so no need to buy anything (books found online). 2 papers, 10 discussions, 6 wellness assignments, essay final. Very democratic (pushed dates when students asked), anti-establishment, kind, funny, smart",06/02/2021,3.0,3.0,,5,N/A,5.0,5.0,1,No,1622656443000,Yes,1452,Yes,,N/A,"['Hilarious', 'Get ready to read', 'Amazing lectures ']",people,people
Not Mandatory,good,average,good,0,34753951,0,online,awesome,5,ANT3132,"Honestly one of my favourite teachers at UOttawa through my whole Undergrad program. He's really caring and accommodating. He uses different medias through the course which is nice (readings, podcasts, movies). If you put the work in, you can get a good grade and there were a lot of little assignments. Very knowledgeable and interesting.",05/10/2021,3.0,3.0,,5,N/A,5.0,5.0,1,No,1620667371000,Yes,1452,Yes,,A+,"['Caring', 'Hilarious', 'Amazing lectures ']",people,people
Not Mandatory,good,average,good,0,34735954,0,online,good,4,ANT1101,Great professor!,05/07/2021,3.0,3.0,,4,N/A,4.0,4.0,1,Yes,1620420644000,Yes,1452,Yes,,B+,"['So many papers', 'Get ready to read']",people,people
Mandatory,good,good,good,0,34690800,0,online,awesome,5,ANT3132,"Amazing lecturer! Great slides. Super engaging and interesting. Really enjoyed him, he is super understanding, funny and intelligent. Covers topics that are actually enjoyable to listen to, especially online. Definitely requires work, took this class as an elective. But if you put the work in you can achieve a good grade :) Great class and prof!",05/03/2021,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1620072517000,Yes,1452,Yes,,A,[],people,people
N/A,good,average,good,0,34637223,0,online,awesome,5,ANT3132,"Great professor. Interesting lectures. Just make sure you do the readings and keep up with the material, you'll get a good grade.",04/27/2021,3.0,3.0,,5,N/A,5.0,5.0,1,No,1619548342000,Yes,1452,Yes,,Not sure yet,"['Clear grading criteria', 'Get ready to read']",people,people
Not Mandatory,good,good,good,0,34549252,0,online,awesome,5,ANT1101,"Professor Ari is an amazing teacher that ensures his students understand the content being presented. His lectures cover the readings and if you read the required readings, his lectures help you grasp the concepts in the textbook. I personally enjoyed his class and his way of teaching. If you want to know more about anthropology take his class.",04/14/2021,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1618412569000,Yes,1452,Yes,,N/A,"['Amazing lectures ', 'Gives good feedback', 'Accessible outside class']",people,people
N/A,good,average,good,0,34430275,0,online,awesome,5,ANT1101,"I was sceptical at first but he's such an easygoing professor. My other classes confuse me so much but professor Gandsman has good TAs and good teaching skills, which makes this an awesome experience. Take his class if u can!",03/11/2021,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1615504382000,Yes,1452,Yes,,INC,"['Graded by few things', 'Get ready to read', 'Clear grading criteria']",people,people
Mandatory,good,good,good,0,33704204,0,,awesome,5,ANT3340,"Prof Gandsman is one of the best at uOttawa. He is extremely understanding and engaging teacher and mentor. He allows us to learn various topics, histories and ideas without any bias. His research is wonderful and worth getting into. You won't regret your decision !",10/15/2020,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1602784843000,Yes,1452,Yes,,A,"['Inspirational', 'Participation matters', 'Group projects']",people,people
Not Mandatory,good,average,good,0,32811732,0,,awesome,5,ANT1101,"Gandsman was a wonderful lecturer, good examples, in depth, concise. Best class I have had. I would go out of my way to take another with him. Read the textbook, attend class (he posts slides late, and they aren't central), think, &amp; you should do well. Super interesting material + exams/essays, made me want to major in ant. Love him. Great TAs too!",01/08/2020,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1578511356000,Yes,1452,Yes,,A+,"['Amazing lectures ', 'Clear grading criteria']",people,people
Mandatory,good,average,good,0,32776253,0,,awesome,5,ANT1101,"Prof. Gandsman was my favourite prof in 1st year and I would go out of my way to take a class with him in the future. Midterms (20% each) and final (40%) were very easy and the book review (20%) was a very interesting assignment and a nice break from your boring term papers. His lectures are VERY entertaining. If you have a chance, take his class!",12/30/2019,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1577749982000,Yes,1452,Yes,,A+,"['Graded by few things', 'Hilarious', 'Respected']",people,people
N/A,good,average,good,0,32666894,0,,good,4,ANT1101,"awesome prof. though he diverges from the main topic of his lectures occasionally, his real-life examples and specific discussions are still interesting. also, he talks with a lot of passion. midterms are mostly m/c with 2 or 3 response questions. cool dude, would recommend.",12/15/2019,2.0,2.0,,4,N/A,4.0,4.0,1,Yes,1576432111000,Yes,1452,Yes,,N/A,"['Amazing lectures ', 'Inspirational']",people,people
Not Mandatory,good,poor,good,0,32474050,0,,awesome,5,ANT1101,"Gandsman is a great prof. To be honest, I didn't show up to class for a month and just read the textbook for the midterm and copied the online presentation and was fine, but that's personal, I wouldn't recommend it for everyone. You only have two midterms (mc and short essay), a report and the exam. Pretty chill course to me",11/25/2019,1.0,1.0,,5,N/A,5.0,5.0,1,Yes,1574699132000,Yes,1452,Yes,,N/A,"['Respected', 'Graded by few things', 'Get ready to read']",people,people
Mandatory,good,average,good,2,28400386,1,,awesome,5,ANT3133,One of my favourite profs so far in my university career!! Such interesting material and all of the readings assigned were captivating. He is such a good lecturer! Do the readings and pay attention in class and you will do fine.,05/30/2017,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1496145017000,Yes,1452,Yes,,A-,[],person,people
Mandatory,good,average,good,2,28400335,1,,awesome,5,ANT3133,"One of the greatest profs I've had in my three years of University. His lectures are very interesting, and it is so easy to get lost in the lecture material. All the assigned readings were also interesting, and the discussions he lead in class were thought provoking. Gave clear instructions for assignments and tests, easy to do well if you work.",05/30/2017,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1496144403000,Yes,1452,Yes,,A,"['Get ready to read', 'Inspirational']",person,people
Mandatory,average,good,average,1,28287618,1,,poor,2,ANT3133,"Not an easy A. We had 2 assignments; he did not have rubrics for the assignments. It was hard to know why he took of marks and how he would allocate the marks. When you would go and see him during his office hours, he would just give vague answers as to why he took of the marks. Its hard to argue when there is no clear rubric. Would not recommend.",05/11/2017,5.0,5.0,,2,N/A,2.0,2.0,1,No,1494519837000,No,1452,N/A,,N/A,[],person,person
Mandatory,good,average,good,1,28046493,0,,awesome,5,SCS1150,Unusual approach but a great class. Super interesting.,04/13/2017,3.0,3.0,,5,N/A,5.0,5.0,1,No,1492099342000,Yes,1452,Yes,,N/A,"['Get ready to read', 'Respected']",people,person
Mandatory,poor,average,poor,0,28037922,1,,awful,1,SCS1150,"Worst professor at the school. incredibly disorganized,and not a single student knew what to expect for the exam. He marks weird and doesn't give you a rubric for any assignments and don't even try to argue your marks he will be rude and ignore you. He likes to talk about himself and his slide show presentations are pointless. Didn't learn anything",04/12/2017,3.0,3.0,,1,N/A,1.0,1.0,1,No,1492004586000,No,1452,N/A,,N/A,"['Get ready to read', 'Participation matters']",person,people
N/A,average,average,average,1,23604393,7,,average,3,SCS1150,I had him for a first year Intro to studying social sciences class. I am not sure if that is a fair course to judge his teaching on.. but he was a good prof. Was a class with a lot of assignments because of the nature of the course. He was pretty good ,09/21/2014,3.0,3.0,,3,Low,3.0,3.0,1,Yes,1411300607000,N/A,1452,Yes,,N/A,"['Lots of homework', 'Participation matters']",people,person
