attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,good,average,0,26373413,0,,average,2,PSY2301,"Neuroscience is tough no matter what. Not only is this professor monotone, she never smiles, her feedback is not clear, and her study guides are not helpful what so ever. Too much information is given at a time and you are expected to know every minute detail as if this is your profession and not a second year class. Avoid this professor!!!",04/25/2016,5.0,5.0,,3,N/A,2.5,2.5,1,No,1461601368000,N/A,1452,Yes,,D,"['Tough grader', 'Get ready to read']",people,people
N/A,average,good,average,0,26141344,0,,average,3,PSY2301,"the class is very boring, and she is very boring also.  her tests are really tricky. prepare to fall asleep in class",03/14/2016,4.0,4.0,,2,Meh,2.5,2.5,1,No,1457961129000,N/A,1452,Yes,,N/A,"['Participation matters', 'Lecture heavy']",people,people
N/A,good,average,good,0,26105646,0,,awesome,5,PSY2301,It is clear that she loves neuroscience. Her exams are fair. You will do well if you go to class!,03/02/2016,3.0,3.0,,5,Really into it,5.0,5.0,1,Yes,1456927768000,Yes,1452,Yes,,A+,"['Gives good feedback', 'Clear grading criteria']",people,people
Not Mandatory,good,average,average,0,26046251,0,,good,4,PSY2301,"Dr. Ledoux is a nice professor, and a good one. The subject matter is heavy it's a bio course  so you have to put the effort in to do well. A lot of memorization of functions and parts. I think people who commented earlier were a little harsh. She's an upper year university professor so if you are expecting hand holding, yes, you will get attitude.",02/10/2016,3.0,3.0,,3,Really into it,3.5,3.5,1,Yes,1455128725000,N/A,1452,Yes,,INC,"['Respected', 'Amazing lectures ']",people,people
Mandatory,good,average,good,0,26022449,0,,good,4,PSY2301,Dr. Ledoux was great and very passionate about the topic. She has a great background knowledge and shared from her own research which made the class more interesting. Very specific and clear on what she wants from and ensures no surprises on the midterms and final.  So cute! Really wanted people to love neuro. ... and she succeeded!,02/02/2016,3.0,3.0,,4,Really into it,4.0,4.0,1,No,1454454525000,N/A,1452,Yes,,A-,['Clear grading criteria'],people,people
Mandatory,good,good,good,0,25902606,0,,good,4,PSY2301,"She is clear about what you need to know for the exams, which were totally reasonable, and is available to clarify any issues you may have with the material. She does speak really quickly so I wouldnt bother taking notes by hand. Dont expect her to just give you an A, but if you study hard you'll do well. She is also pretty funny from time to time.",01/08/2016,4.0,4.0,,4,It's my life,4.0,4.0,1,Yes,1452256397000,Yes,1452,Yes,,A+,['Clear grading criteria'],people,people
N/A,good,average,average,0,25587818,0,,good,4,PSY2301,She stated right off the bat that she was coming back after a break from teaching and that she is aware her students were not pleased with the difficulty of the course. She said she will take a different approach this time and I believe this was accomplished. She is a good professor in her current form and it is possible to do well in this course. ,12/08/2015,2.0,2.0,,3,Really into it,3.5,3.5,1,Yes,1449577653000,N/A,1452,Yes,,N/A,['Clear grading criteria'],people,people
Mandatory,average,good,average,1,25508008,0,,average,3,PSY2301,"She has definitely changed her teaching style because her class is a lot more enjoyable now. She does go through the material pretty fast, but sometimes she basically gives you the answer she wants to see on the midterm, so you should go to class. Study the slides and you'll get an A. ",11/30/2015,4.0,4.0,,3,Really into it,3.0,3.0,1,Yes,1448918519000,N/A,1452,Yes,,A,[],people,person
N/A,average,average,average,1,25492422,0,,average,3,PSY2103,"Clearly since her first reviews on this site, Dr. Ledoux has become a more reasonable test-writer. Her midterms were fair and her lecture clarity improved as the semester went on. She tends to go quite fast, I would not recommend hand writing notes in her class. She doesn't require the text, but I would highly recommend it. ",11/26/2015,2.0,2.0,,3,Really into it,3.0,3.0,1,Yes,1448569105000,N/A,1452,Yes,,N/A,"['Lecture heavy', 'Clear grading criteria']",people,person
Mandatory,good,average,good,0,25454708,0,,good,4,PSY2301,The professor explained at the beginning of the course that in the past there had been terrible marks and she realized this. She realized this was mostly art students and changed her tests to follow this. Read the textbook and prepare thoroughly for tests to do well ... and you will! ,11/19/2015,3.0,3.0,,4,Really into it,4.0,4.0,1,Yes,1447952660000,N/A,1452,Yes,,A,"['Get ready to read', 'Clear grading criteria']",people,people
