attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,36218952,0,online,awesome,5,BPS3101,"Online, this course was well structured with podcasts demonstrating the use of bioinformatic tools quite well. I found the lectures very interesting and engaging, but would think this would only be the case if you are into genomics. His midterms and final were very fair and had mixed application questions and lecture knowledge questions.",05/02/2022,2.0,2.0,,5,N/A,5.0,5.0,1,N/A,1651529496000,Yes,0,Yes,,A+,['Amazing lectures '],people,people
Not Mandatory,good,average,good,0,35782330,0,,awesome,5,BPS3101,"Dr. Boddy is a great professor and his exams are extremely fair. You really need to understand how to use the online tools to do well (practice with assignments). Exam content is no surprise, the questions closely reflect the in class content and assignments. Dr. Boddy isn't really accessible outside of class, so ask questions during the lecture.",01/21/2022,2.0,2.0,,5,N/A,5.0,5.0,1,No,1642790213000,Yes,1452,Yes,,A+,"['Graded by few things', 'Test heavy', 'Get ready to read']",people,people
Not Mandatory,average,good,average,0,34250397,0,online,poor,2,BPS3101,"The class started great, he was easy to reach however at the end of the semester he stopped replying to emails. The second midterm which was written at the beginning of November wasn't returned till the day before the exam mark was given. This class was extremely applicative based so the lectures are barely useful. Wouldnt recommend him at all.",01/07/2021,4.0,4.0,,2,N/A,2.0,2.0,1,No,1610057837000,No,1452,Yes,,B+,['Graded by few things'],people,people
Mandatory,average,good,average,1,33421488,0,,poor,2,BCH2333,His lecture slides do not explain the material very well. You are expected to understand drawings and answer application type questions about them. Exams do not reflect material and he bell curves heavily because of this.,06/09/2020,4.0,4.0,,2,N/A,2.0,2.0,1,Yes,1591720498000,No,1452,Yes,,N/A,"['Lecture heavy', 'Get ready to read']",people,person
Mandatory,good,good,good,0,32806976,0,,awesome,5,BPS3101,I LOVE BODDY!! This is one of the only classes where I felt I understood everything. I love the way he teaches. He writes notes on his slides which I found more interactive than only speaking and reading off PPs. Everything on his midterms/final were on his slides. This course is definitely not memorization based.,01/07/2020,4.0,4.0,,5,N/A,5.0,5.0,1,No,1578431273000,Yes,1452,Yes,,A-,"['Respected', 'Amazing lectures ']",people,people
Not Mandatory,poor,good,poor,0,32706203,1,,awful,1,BPS3101,"His exams are extremely application based, but he barely covers application in class. He'll give you rough definitions, and that's all. There's no graded assignments; your grade is dependent on 2 20% midterms and a 60% final. So if exams are your weak point (me), godspeed.",12/18/2019,5.0,5.0,,1,N/A,1.0,1.0,1,No,1576690779000,No,1452,Yes,,F,"['Get ready to read', 'Tough grader', 'Graded by few things']",person,people
Mandatory,average,good,average,1,30844856,2,,poor,2,BPS4121,"This guy uses chalkboard and makes you draw compounds with m.w. &gt; 500. During the class, you'll be so concentrated to re-draw every molecule that you won't even have time to actually understand the concepts. His exams are super hard,and he doesn't even post any practice questions or past exams, so basically no way to be prepared.",12/03/2018,5.0,5.0,,2,N/A,2.0,2.0,1,No,1543842833000,No,1452,No,,Not sure yet,"['Lecture heavy', 'Test heavy']",people,person
N/A,poor,good,poor,7,29350089,2,,awful,1,BPS3101,"Awful experience. 2 midterms worth 20% each, and a 60% final. Even used the textbook to try better my understanding of concepts after receiving a low mark - but proved to be useless because on tests he throws in random application questions that we have never seen. The effort you put in is not reflective of the mark you receive.",12/28/2017,5.0,5.0,,1,N/A,1.0,1.0,1,Yes,1514465149000,No,1452,Yes,,N/A,"['Tough grader', 'Graded by few things']",people,people
Mandatory,poor,good,poor,7,29339243,1,,awful,1,BPS3101,"Genomics would have been my favourite course if it weren't for Dr. Boddy - slides are unclear, consisting mostly of figures and captions from old papers with very little information on concepts. Exams are not reflective of lecture content. Extremely discouraging class - not representative of the amount of effort or passion you contribute.",12/26/2017,5.0,5.0,,1,N/A,1.0,1.0,1,No,1514309806000,No,1452,Yes,,N/A,['Tough grader'],person,people
Mandatory,poor,good,poor,17,29248082,1,,awful,1,BPS3101,"Never want to take a class with Boddy again. He curved the first midterm around 20% and the class average was still 55%. What he teaches in the lectures is completely pointless, midterms are all application based when he has never shown 1 example in class before. Literally pulls these questions out of his ass",12/17/2017,5.0,5.0,,1,N/A,1.0,1.0,1,No,1513536369000,No,1452,Yes,,N/A,[],person,people
Mandatory,average,good,average,9,29086375,0,,poor,2,BPS3101,"He gives so much information in lecture and then gives you 0 examples of how to apply it. Then gives you old, irrelevant problem sets, and then his exams are 80% application and the questions don't reflect anything you've learned. Every student asked him to drop the first midterm because of his own mistakes and he dropped one question at most.",12/07/2017,4.0,4.0,,2,N/A,2.0,2.0,1,No,1512669690000,No,1452,Yes,,Not sure yet,['Tough grader'],people,people
N/A,poor,good,poor,12,28862281,0,,awful,1,BPS3101,"Extremely poorly structured course. Midterms were nowhere near reflective of how material was taught, not to mention an extremely inflexible and frustrating person to communicate with.",11/09/2017,4.0,4.0,,1,N/A,1.0,1.0,1,No,1510222615000,No,1452,Yes,,Not sure yet,['Tough grader'],people,people
