attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,poor,average,poor,0,36678002,0,,awful,1,BIO3524,"unbelievably confusing and disorganized, won't recommend him.
",10/05/2022,2.0,2.0,,1,N/A,1.0,1.0,0,N/A,1664928975000,N/A,0,Yes,,Not sure yet,[],people,people
Mandatory,good,average,good,0,36672327,0,,awesome,5,BIO3126,"John is a very great prof. While his slides can be complicated and confusing to read through, he explains the concepts rather concisely and thoroughly during the first hour of the lab. Alongside this he is very quick to respond outside of office hours, including on the weekends. I would highly recommend taking BIO3126 with him if possible!",10/02/2022,3.0,3.0,,5,N/A,5.0,5.0,0,N/A,1664740292000,Yes,0,Yes,,INC,"['Caring', 'Accessible outside class', 'Participation matters']",people,people
Not Mandatory,average,average,average,0,36222024,0,online,average,3,BIO3151,"Man where do I start lol. This guy accidentally deleted all our midterms, got us prepared for a rewrite, then recovered them all of a sudden. Also cancelled an assignment after half the class already submitted it. Other than technical hiccups and boring lectures, he's a nice guy. The assignments/tests were super easy and half the class got an A+",05/03/2022,2.0,2.0,,3,N/A,3.0,3.0,1,N/A,1651545014000,N/A,0,Yes,,A+,"['Accessible outside class', 'Lots of homework', 'EXTRA CREDIT']",people,people
Mandatory,good,average,good,0,36137438,0,online,awesome,5,BIO3151,He is a very caring and nice person. His lectures were not heavy and he made sure everyone understood the lectures. He doesn't give hard examples during the lectures but he allowed us to use any kind of resources during the exams which was very helpful. He is also accommodating and you don't have to explain yourself to get an extension for exams.,04/23/2022,2.0,2.0,,5,N/A,5.0,5.0,1,N/A,1650751479000,Yes,0,Yes,,A+,"['Clear grading criteria', 'Caring', 'Respected']",people,people
Mandatory,good,good,good,0,35850684,0,,awesome,5,BIO3551,John est un des meilleurs profs que jai eu. Son cours est difficile mais il est toujours l&agrave; pour texpliquer davantage la mati&egrave;re jusqu&agrave; ce que tu comprennes. Cest un p&eacute;dagogue hors-pair.,02/13/2022,4.0,4.0,,5,N/A,5.0,5.0,1,No,1644752400000,Yes,1452,Yes,,N/A,"['Lots of homework', 'Participation matters', 'Caring']",people,people
Mandatory,good,average,good,0,35753187,0,online,awesome,5,BIO3524,"Great teacher, the class is very interesting and was very enjoyable to take. He clearly states how you will be graded, online exams that are open book and he gives you lots of time to do them. Only tedious part is that there are weekly quizzes but they are only for bonus marks and you don't have to do them. Would definitely recommend",01/14/2022,2.0,2.0,,5,N/A,5.0,5.0,1,No,1642173746000,Yes,1452,Yes,,A-,"['Clear grading criteria', 'Amazing lectures ']",people,people
Mandatory,good,average,good,0,35587752,0,,awesome,5,BIO3526,"easily uottawa's best science prof. definitely take this class if you're already taking bio3524/3124. lots of assignments but its pretty easy to do well on them. this class has one midterm and a final and they were both pretty hard, the midterm especially so. practice the calc questions!",12/18/2021,2.0,2.0,,5,N/A,5.0,5.0,1,No,1639838819000,Yes,1452,Yes,,A+,"['Accessible outside class', 'Amazing lectures ', 'Lots of homework']",people,people
Not Mandatory,good,good,good,2,35509499,0,online,awesome,5,BIO3524,The most caring and patient professor! He makes sure his students ask questions during class and does not move on to new material until the concepts are understood. Homeworks and previous exams are given to prepare you. Take thorough notes in class and listen to the audio (his exams and quizzes are SPECIFIC). Open-book exam + virtual exams :),12/14/2021,4.0,4.0,,5,N/A,5.0,5.0,1,No,1639449254000,Yes,1452,Yes,,Not sure yet,"['Accessible outside class', 'Gives good feedback', 'Test heavy']",people,people
N/A,good,good,good,1,34503131,0,,awesome,5,BIO3524,"Took this class a few years ago but im really surprised at all these negative reviews. His course is tough and you cant expect to do well if you dont attend and pay attention. He will emphasize material that is high yield for the exam. Moreover, he is ALWAYS available to answer questions. I went to his office and he was always helpful. Got A+",04/03/2021,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1617466662000,Yes,1452,Yes,,A+,[],people,person
Mandatory,poor,good,poor,0,32174734,0,,awful,1,BIO3151,Tough exams. He does not explain well.,08/15/2019,5.0,5.0,,1,N/A,1.0,1.0,1,No,1565889763000,No,1452,Yes,,N/A,[],people,people
Mandatory,good,good,good,0,32009802,0,,good,4,BIO3,Great teacher,06/09/2019,4.0,4.0,,4,N/A,4.0,4.0,1,No,1560068591000,Yes,1452,Yes,,B,['Respected'],people,people
Mandatory,good,average,good,1,31331759,1,,awesome,5,BIO3126,Great professor!,02/03/2019,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1549226580000,Yes,1452,Yes,,N/A,"['Gives good feedback', 'Caring', 'Accessible outside class']",person,person
Mandatory,good,good,good,1,30635584,0,,good,4,BIO3151,Very tough no doubt. But he is caring and willing to put in the time to help you. His molecular lab course is extremely time consuming but a lot of the work is built on a few major principles he will emphasize and that can make or break your mark. With the effort you can succeed and although he is tough he does want the best for his students.,10/31/2018,5.0,5.0,,4,N/A,4.0,4.0,1,No,1540978546000,Yes,1452,Yes,,N/A,"['Caring', 'Tough grader', 'Respected']",people,person
Mandatory,poor,good,poor,2,30612477,0,,awful,1,BIO3151,Assignments are very confusing. He does not explain material well.,10/25/2018,5.0,5.0,,1,N/A,1.0,1.0,1,No,1540493485000,No,1452,Yes,,N/A,[],people,people
Mandatory,good,good,good,3,30330262,3,,good,4,BIO3151,Super tough? Definitely. But the last couple reviews are unfairly negative. if you want to succeed you need to put in the work. He tends to give everybody a generous bump at the end if the average is low (which is often fort his classes). Unlike most profs he always has time to answer questions outside of class even if in class he is a bit stiff.,07/09/2018,5.0,5.0,,4,N/A,4.0,4.0,1,No,1531130673000,Yes,1452,Yes,,N/A,"['Accessible outside class', 'Tough grader']",people,people
Mandatory,average,good,average,4,30312062,4,,poor,2,BIO3151,"You have to visit his office consistently. Assignments are very confusing and hardly any of the concepts are taught in class. Many mistakes in his assignments, so you end up spending hours to complete them and after realize that you were doing it right the whole time. He also doesn't tell students of these mistakes unless you visit his office.",07/01/2018,5.0,5.0,,2,N/A,2.0,2.0,1,No,1530454726000,No,1452,Yes,,B,"['Test heavy', 'Lots of homework', 'Tough grader']",people,people
Mandatory,poor,good,poor,8,30200185,3,,awful,1,BIO3151,I went to his office the second week of the lab to get help on the math-side of things and he literally told me to drop the class if it wasn't mandatory and made me feel completely discouraged for not understanding everything right away. I dropped the class and the average for the midterm ended up being under 50 apparently.,05/28/2018,4.0,4.0,,1,N/A,1.0,1.0,1,No,1527512234000,No,1452,Yes,,WD,[],people,people
Mandatory,poor,good,poor,4,29986715,3,,awful,1,BIO3151,Complete flip from BIO3124 where he was a decent prof. The assignments are completely bogus (he doesnt teach you anything relevant in lecture) and in order to do well you need to go to his office for help or know someone who does. His office is also packed which makes it worse. The exams were v tough and were difficult to prepare for. Frustrating.,05/04/2018,4.0,4.0,,1,N/A,1.0,1.0,1,No,1525439374000,No,1452,Yes,,A,['Tough grader'],people,people
